package,breaking_version,prior_version,V_score,n_prior_symbols,n_removed_symbols,n_added_symbols,n_retained_symbols,prior_fetched,breaking_fetched
lodash,4.0.0,3.10.1,0.0,0,0,0,0,1,1
express,4.0.0,3.21.2,0.5417,24,13,2,11,1,1
react,16.0.0,15.6.2,1.0,3,3,0,0,1,1
react,17.0.0,16.14.0,0.0,31,0,0,31,1,1
react,18.0.0,17.0.2,0.0,31,0,7,31,1,1
webpack,4.0.0,3.12.0,0.0,16,0,16,16,1,1
webpack,5.0.0,4.46.0,0.6019,108,65,345,43,1,1
babel-core,7.0.0,6.26.3,1.0,40,40,0,0,1,0
typescript,2.0.0,1.8.10,0.0,14,0,2,14,1,1
typescript,3.0.0,2.9.2,1.0,30,30,0,0,1,0
typescript,4.0.0,3.9.7,1.0,616,616,0,0,1,0
angular,2.0.0,1.8.3,0.0,0,0,0,0,1,0
vue,3.0.0,2.6.14,0.9648,398,384,272,14,1,1
moment,2.0.0,1.7.2,0.0,0,0,0,0,1,1
axios,1.0.0,0.27.2,0.0323,31,1,41,30,1,1
jest,27.0.0,26.6.3,0.1667,6,1,1,5,1,1
jest,28.0.0,27.5.1,0.1667,6,1,0,5,1,1
eslint,6.0.0,5.16.0,0.0,9,0,0,9,1,1
eslint,7.0.0,6.8.0,0.0,9,0,1,9,1,1
eslint,8.0.0,7.32.0,0.0,16,0,0,16,1,1
mocha,6.0.0,5.2.0,0.0741,162,12,38,150,1,1
mocha,8.0.0,7.2.0,0.0457,197,9,9,188,1,1
chalk,5.0.0,4.1.2,0.0,0,0,23,0,1,1
node-fetch,3.0.0,2.6.7,0.2,5,1,24,4,1,1
uuid,8.0.0,7.0.3,0.0,4,0,0,4,1,1
uuid,9.0.0,8.3.2,0.0,4,0,2,4,1,1
glob,8.0.0,7.2.3,1.0,7,7,0,0,1,0
glob,9.0.0,8.1.0,1.0,7,7,39,0,1,1
rimraf,4.0.0,3.0.2,0.0,0,0,54,0,1,1
mkdirp,1.0.0,0.5.5,0.0,0,0,0,0,1,1
semver,7.0.0,6.3.0,0.9524,42,40,4,2,1,1
commander,8.0.0,7.2.0,0.0,6,0,16,6,1,1
commander,9.0.0,8.3.0,0.0,26,0,1,26,1,1
yargs,17.0.0,16.2.0,0.1034,29,3,6,26,1,1
dotenv,16.0.0,15.0.2,0.0,0,0,5,0,0,1
mongoose,6.0.0,5.13.7,0.0833,168,14,13,154,1,1
mongoose,7.0.0,6.9.1,0.0353,482,17,8,465,1,1
sequelize,6.0.0,5.22.4,1.0,418,418,0,0,1,0
typeorm,0.3.0,0.2.45,0.0219,547,12,17,535,1,1
graphql,16.0.0,15.8.0,0.2319,401,93,42,308,1,1
apollo-server,3.0.0,2.25.2,0.2632,19,5,0,14,1,1
next,13.0.0,12.3.1,0.0233,1288,30,209,1258,1,1
next,14.0.0,13.5.4,0.0276,2425,67,145,2358,1,1
nuxt,3.0.0,2.15.8,0.0,0,0,74,0,1,1
gatsby,4.0.0,3.14.6,0.0123,895,11,27,884,1,1
tailwindcss,3.0.0,2.2.19,0.8899,536,477,64,59,1,1
postcss,8.0.0,7.0.39,0.6667,3,2,51,1,1,1
rollup,3.0.0,2.79.1,0.0433,231,10,12,221,1,1
vite,3.0.0,2.9.13,0.1241,274,34,66,240,1,1
vite,4.0.0,3.2.5,0.0036,278,1,7,277,1,1
prettier,3.0.0,2.8.8,0.9,20,18,53,2,1,1
