package,breaking_version,published_at,total_in_window,first_issue_hours,issues_6h,issues_12h,issues_24h,issues_48h,issues_72h,notes,label_breaking
lodash,4.0.0,2016-01-12 23:13 UTC,57,0.13,3,7,28,42,57,"Major API restructure, _.pluck removed",1
express,4.0.0,2014-04-09 20:39 UTC,15,0.43,2,5,9,13,15,Router API breaking change,1
react,16.0.0,2017-09-26 16:00 UTC,181,0.36,31,56,104,160,181,Lifecycle methods deprecated/changed,1
react,17.0.0,2020-10-20 20:11 UTC,164,1.33,7,16,47,105,164,Event delegation changed,1
react,18.0.0,2022-03-29 16:00 UTC,221,0.36,26,33,67,160,221,"Concurrent rendering, ReactDOM.render deprecated",1
webpack,4.0.0,2018-02-25 02:38 UTC,189,0.16,4,12,131,167,189,Config API breaking change,1
webpack,5.0.0,2020-10-10 20:09 UTC,102,0.02,8,16,34,68,102,Node.js polyfills removed,1
babel-core,7.0.0,,0,,0,0,0,0,0,Package renamed to @babel/core,1
typescript,2.0.0,2016-07-11 16:13 UTC,116,0.15,15,18,41,78,116,strictNullChecks breaking,1
typescript,3.0.0,,0,,0,0,0,0,0,Project references breaking,1
typescript,4.0.0,,0,,0,0,0,0,0,Variadic tuple types breaking,1
angular,2.0.0,,0,,0,0,0,0,0,Complete rewrite,1
vue,3.0.0,2020-09-18 15:28 UTC,61,1.6,7,13,27,42,61,Composition API breaking,1
moment,2.0.0,2013-02-08 19:13 UTC,16,1.95,2,3,5,8,16,Locale API breaking,1
axios,1.0.0,2022-10-04 19:24 UTC,54,1.01,8,11,27,39,54,CommonJS/ESM breaking,1
jest,27.0.0,2021-05-25 08:16 UTC,38,0.23,7,9,14,28,38,Default env changed to node,1
jest,28.0.0,2022-04-25 12:08 UTC,38,0.68,7,10,13,24,38,Multiple breaking config changes,1
eslint,6.0.0,2019-06-22 03:01 UTC,152,0.13,46,53,109,148,152,"Node.js 6 dropped, plugin API changes",1
eslint,7.0.0,2020-05-08 18:51 UTC,120,0.05,9,13,28,49,120,Node.js 8 dropped,1
eslint,8.0.0,2021-10-09 20:46 UTC,75,0.89,3,10,19,42,75,CodePathAnalyzer breaking,1
mocha,6.0.0,2019-02-18 21:12 UTC,68,1.25,14,14,46,57,68,Node.js 4/5/6 dropped,1
mocha,8.0.0,2020-06-10 19:12 UTC,8,0.07,4,4,7,7,8,Root hooks breaking,1
chalk,5.0.0,2021-11-26 09:57 UTC,13,0.01,4,6,8,9,13,"ESM-only, breaks CommonJS",1
node-fetch,3.0.0,2021-08-31 16:22 UTC,24,2.04,2,3,10,18,24,"ESM-only, breaks CommonJS",1
uuid,8.0.0,2020-04-29 20:42 UTC,33,1.32,3,4,13,25,33,Deep import paths removed,1
uuid,9.0.0,2022-09-05 20:03 UTC,37,3.7,2,2,11,26,37,Browser crypto API requirement,1
glob,8.0.0,,0,,0,0,0,0,0,Removed sync methods,1
glob,9.0.0,2023-02-27 20:51 UTC,21,4.2,1,1,4,18,21,ESM-only,1
rimraf,4.0.0,2023-01-13 00:29 UTC,14,11.21,0,1,3,10,14,"ESM-only, CLI changes",1
mkdirp,1.0.0,2020-01-24 20:18 UTC,12,2.99,3,3,3,9,12,Now returns Promise,1
semver,7.0.0,2019-12-14 19:36 UTC,39,1.82,4,5,13,23,39,Removed deprecated methods,1
commander,8.0.0,2021-06-25 08:24 UTC,6,6.6,0,2,3,5,6,Option handling breaking,1
commander,9.0.0,2022-01-29 00:30 UTC,18,0.54,8,8,14,17,18,ESM support breaking,1
yargs,17.0.0,2021-05-02 19:02 UTC,3,4.49,1,1,1,2,3,"ESM support, Node 10 dropped",1
dotenv,16.0.0,2022-02-02 21:26 UTC,11,1.2,2,3,5,9,11,Multiline value parsing changed,1
mongoose,6.0.0,2021-08-24 22:12 UTC,36,6.41,0,25,30,35,36,Schema strict mode,1
mongoose,7.0.0,2023-02-27 18:53 UTC,12,19.45,0,0,2,7,12,"Promises-only, callbacks removed",1
sequelize,6.0.0,2019-06-12 21:15 UTC,3,17.95,0,0,2,3,3,Model.sync breaking,1
typeorm,0.3.0,2022-03-17 16:04 UTC,14,2.18,2,6,10,13,14,Complete API rewrite,1
graphql,16.0.0,2021-10-28 19:55 UTC,21,0.0,1,2,11,19,21,Execution result changes,1
apollo-server,3.0.0,2021-07-07 18:17 UTC,5,24.73,0,0,0,3,5,Plugin API breaking,1
next,13.0.0,2022-10-25 17:31 UTC,364,0.01,48,76,198,328,364,App directory breaking,1
next,14.0.0,2023-10-26 16:13 UTC,309,0.07,46,68,182,276,309,Server actions breaking,1
nuxt,3.0.0,2022-11-16 15:01 UTC,77,0.63,12,21,42,65,77,Complete rewrite,1
gatsby,4.0.0,2021-10-21 11:59 UTC,21,3.04,3,7,11,18,21,GraphQL breaking,1
tailwindcss,3.0.0,2021-12-09 16:27 UTC,38,1.65,2,7,19,31,38,JIT-only,1
postcss,8.0.0,2020-09-15 15:20 UTC,24,1.66,8,10,14,19,24,Plugin API breaking,1
rollup,3.0.0,2022-10-11 13:43 UTC,21,0.17,4,6,11,16,21,ES2020 baseline,1
vite,3.0.0,2022-07-13 11:55 UTC,102,1.03,10,24,44,81,102,Config API changes,1
vite,4.0.0,2022-12-09 09:04 UTC,83,0.37,7,18,34,57,83,Rollup 3 breaking,1
prettier,3.0.0,2023-07-05 12:44 UTC,118,0.52,13,25,55,94,118,"ESM-only, plugin API breaking",1
